CONTEST_CODE;GROUP_CODE;GROUP_VALUE;GET_CALC_METHOD;GET_CALC_CRITERION;ADD_CALC_CRITERION;ADD_CALC_CRITERION_2;BASE_CALC_CODE
05_2025-0_18-1_1;TB;*;2;1;1;0;TB
05_2025-0_18-1_1;TB;[13];2;1;1;0;TB
05_2025-0_18-1_1;TB;[16];2;1;2;0;TB
05_2025-0_18-1_1;TB;[18];2;1;1;0;TB
05_2025-0_18-1_1;TB;[38];2;4;6;0;TB
05_2025-0_18-1_1;TB;[40];2;3;3;0;TB
05_2025-0_18-1_1;TB;[42];2;1;2;0;TB
05_2025-0_18-1_1;TB;[44];2;1;2;0;TB
05_2025-0_18-1_1;TB;[52];2;1;2;0;TB
05_2025-0_18-1_1;TB;[54];2;1;1;0;TB
05_2025-0_18-1_1;TB;[55];2;2;3;0;TB
05_2025-0_18-1_1;TB;[70];2;1;1;0;TB
05_2025-0_18-2_1;BANK;*;2;5;0;0;BANK
05_2025-0_18-2_1;TB;*;2;0;1;0;TB
05_2025-0_18-2_2;BANK;*;2;3;0;0;BANK
05_2025-0_18-3_1;TB;*;2;1;1;1;TB
05_2025-0_18-4_1;TB;*;2;1;1;0;TB
05_2025-0_18-4_1;TB;[13];2;1;2;0;TB
05_2025-0_18-4_1;TB;[16];2;3;4;0;TB
05_2025-0_18-4_1;TB;[18];2;1;1;0;TB
05_2025-0_18-4_1;TB;[38];2;8;10;0;TB
05_2025-0_18-4_1;TB;[40];2;5;5;0;TB
05_2025-0_18-4_1;TB;[42];2;2;3;0;TB
05_2025-0_18-4_1;TB;[44];2;2;3;0;TB
05_2025-0_18-4_1;TB;[52];2;1;1;0;TB
05_2025-0_18-4_1;TB;[54];2;1;2;0;TB
05_2025-0_18-4_1;TB;[55];2;4;5;0;TB
05_2025-0_18-4_1;TB;[70];2;1;1;0;TB
05_2025-0_18-5_1;BANK;*;2;15;0;0;BANK
05_2025-0_18-6_1;BANK;*;2;15;0;0;BANK
05_2025-0_18-7_1;BANK;*;3;;;;
05_2025-0_18-7_2;BANK;*;3;;;;
05_2025-0_18-7_3;BANK;*;3;;;;
05_2025-0_18-7_4;BANK;*;3;;;;
05_2025-0_18-8_1;BANK;*;3;;;;
05_2025-0_18-8_2;BANK;*;3;;;;
05_2025-0_18-8_3;BANK;*;3;;;;
05_2025-0_18-8_4;BANK;*;3;;;;
06_2025-0_00-1;BANK;*;3;;;;
06_2025-0_18-1_1;BANK;*;2;1;1;2;BANK
06_2025-0_18-2_1;BANK;*;2;1;1;0;BANK
06_2025-0_18-2_2;BANK;*;2;1;0;0;BANK
06_2025-0_18-3_1;BANK;*;2;1;1;1;BANK
06_2025-0_18-4_1;BANK;*;2;1;1;2;BANK
07_2025-0_00-1;BANK;*;3;;;;
07_2025-0_18-1_1;BANK;*;2;1;1;2;BANK
07_2025-0_18-2_1;BANK;*;2;1;0;0;BANK
07_2025-0_18-2_2;BANK;*;2;1;0;0;BANK
07_2025-0_18-3_1;BANK;*;2;1;0;0;BANK
07_2025-0_18-4_1;BANK;*;2;1;1;2;BANK
08_2025-0_00-1;BANK;*;3;;;;
08_2025-0_18-1_1;BANK;*;2;1;1;3;BANK
08_2025-0_18-2_1;BANK;*;2;1;1;3;BANK
08_2025-0_18-2_2;BANK;*;2;5;0;0;BANK
08_2025-0_18-3_1;BANK;*;2;1;1;3;BANK
08_2025-0_18-4_1;BANK;*;2;1;1;3;BANK
CONTEST_00;BANK;*;3;;;;
CONTEST_01;BANK;*;3;;;;
CONTEST_02;BANK;*;3;;;;
CONTEST_03;BANK;*;3;;;;
CONTEST_04;BANK;*;3;;;;
CONTEST_05;BANK;*;3;;;;
CONTEST_06;BANK;*;3;;;;
CONTEST_07;BANK;*;3;;;;
CONTEST_08_01;BANK;*;1;0.01000;0.00000;0.00000;BANK
CONTEST_08_01;GOSB;*;1;0.00000;0.00000;0.10000;GOSB
CONTEST_08_01;TB;*;1;0.00000;0.07000;0.00000;TB
CONTEST_10_01;BANK;*;2;1;0;0;BANK
CONTEST_10_01;TB;*;2;0;1;1;TB
CONTEST_100;BANK;*;3;;;;
CONTEST_11;BANK;*;3;;;;
