CONTEST_CODE;INDICATOR_CALC_TYPE;INDICATOR_ADD_CALC_TYPE;FULL_NAME;INDICATOR_CODE;INDICATOR_AGG_FUNCTION;INDICATOR_WEIGHT;INDICATOR_OBJECT;INDICATOR_MARK_TYPE;INDICATOR_MATCH;INDICATOR_VALUE;CONTEST_CRITERION;INDICATOR_FILTER;CONTESTANT_SELECTION;CALC_TYPE;N
CONTEST_25;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;160
CONTEST_26;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;161
CONTEST_28;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;162
CONTEST_29;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;163
CONTEST_30;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;164
CONTEST_31;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;165
CONTEST_32;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;166
CONTEST_33;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;167
CONTEST_34;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;168
CONTEST_35;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;169
CONTEST_36;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;170
CONTEST_37;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;171
CONTEST_38;1;;WAIT;WAIT;SUM;1;;RATING;MAX;;;;;1;172
CONTEST_39_01;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;173
CONTEST_39_02;1;;WAIT;WAIT;;;;CRITERION;>=;3;;;;1;174
CONTEST_39_03;1;;WAIT;WAIT;;;;CRITERION;>=;10;;;;1;175
CONTEST_40;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;176
CONTEST_41;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;177
CONTEST_42;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;178
CONTEST_43;1;;WAIT;WAIT;;;;CRITERION;>=;1000000000;;;;1;179
CONTEST_44;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;180
CONTEST_45;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;181
CONTEST_46;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;182
CONTEST_47;1;;WAIT;WAIT;;;;CRITERION;>=;2;;;;1;183
CONTEST_50;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;184
CONTEST_51;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;185
CONTEST_52;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;186
CONTEST_55;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;188
CONTEST_62;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;191
CONTEST_63;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;192
CONTEST_64;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;193
CONTEST_65;1;;WAIT;WAIT;SUM;1;;CRITERION;=;1;;;;1;194
CONTEST_66;1;;WAIT;WAIT;SUM;1;;CRITERION;=;1;;;;0;195
CONTEST_67;1;;WAIT;WAIT;SUM;1;;CRITERION;=;1;;;;1;196
CONTEST_68;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;197
CONTEST_69;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;198
CONTEST_91;1;;WAIT;WAIT;;;;RATING;MAX;1;;;;1;199
CONTEST_92;1;;WAIT;WAIT;;;;RATING;MAX;1;;;;1;200
CONTEST_93;1;;WAIT;WAIT;;;;RATING;MAX;1;;;;1;201
CONTEST_94;1;;WAIT;WAIT;;;;RATING;MAX;1;;;;1;202
CONTEST_95;1;;WAIT;WAIT;;;;RATING;MAX;1;;;;1;203
CONTEST_96;1;;WAIT;WAIT;;;;RATING;MAX;1;;;;1;204
CONTEST_m_01;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;207
CONTEST_m_02;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;208
CONTEST_m_03;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;209
CONTEST_m_04;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;210
CONTEST_m_05;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;211
CONTEST_m_06;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;212
CONTEST_m_07;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;213
CONTEST_m_08;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;214
CONTEST_m_09;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;215
CONTEST_m_10;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;216
CONTEST_s_01_01;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;217
CONTEST_s_01_02;1;;WAIT;WAIT;;;;CRITERION;>=;3;;;;1;218
CONTEST_s_01_03;1;;WAIT;WAIT;;;;CRITERION;>=;5;;;;1;219
CONTEST_s_03;1;;WAIT;WAIT;;;;CRITERION;>=;2;;;;1;221
CONTEST_s_04;1;;WAIT;WAIT;;;;CRITERION;>=;2;;;;1;222
CONTEST_s_05;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;223
CONTEST_s_06;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;224
CONTEST_s_07;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;225
